,index,Date,Open,High,Low,Close,Volume,Momentum1D,RSI14D,MiddleBB,UpperBB,LowerBB,PVT,PROC,MoneyFlowIndex,NextHigh
0,19,2005-03-24,45.064,45.25,45.064,45.093,4591,0.10800000000000409,25.02518186905422,45.9748,46.57469478024769,45.374905219752314,21.077370493696343,-1.0271943109238086,28.70496411042339,45.27
1,20,2005-03-28,45.204,45.27,45.13,45.186,9734,0.09299999999999642,19.820466786355283,45.9186,46.53777937202142,45.29942062797858,9.053370057553972,-0.3198694050429135,28.502444383125166,45.168
2,21,2005-03-29,45.036,45.168,44.701,44.701,9298,-0.48499999999999943,18.65495099695825,45.84545,46.518212918669605,45.172687081330395,-119.87471819367961,-1.4484765642224007,28.589385598851948,45.278
3,22,2005-03-30,44.902,45.278,44.885,45.278,6780,0.5769999999999982,33.18821165438708,45.793850000000006,46.468680604475566,45.11901939552445,187.3154370608248,0.5507439484787865,35.73674700024648,45.322
4,23,2005-03-31,45.27,45.322,45.121,45.186,16078,-0.09199999999999875,38.52724594992618,45.73309999999999,46.405079393481046,45.06112060651894,-120.18492040332517,0.4468156052017351,42.90543480198057,45.402
5,24,2005-04-01,45.402,45.402,44.754,44.857,13675,-0.3290000000000006,37.82533256217446,45.660000000000004,46.34429641161369,44.97570358838632,-66.89913968233064,-0.5233628279333914,42.977411426444185,45.074
6,25,2005-04-04,44.736,45.074,44.701,45.003,20013,0.1460000000000008,38.653224272398596,45.571799999999996,46.21855649041562,44.92504350958437,164.7059580855204,-0.4049926968530072,35.78447823310529,45.313
7,26,2005-04-05,45.204,45.313,45.204,45.25,7766,0.2469999999999999,39.33354095297407,45.484049999999996,46.03860420455486,44.929495795445135,-22.514191429429275,1.2281604438379443,35.701005461833006,45.487
8,27,2005-04-06,45.441,45.487,45.376,45.376,5031,0.12599999999999767,40.84092913848859,45.418150000000004,45.894093193757634,44.942206806242375,-28.614897144119425,0.216440655505983,42.88702124308084,45.625
9,28,2005-04-07,45.384,45.625,45.305,45.571,14217,0.19500000000000028,43.0189747946757,45.3826,45.815203306798075,44.94999669320192,47.087532384535415,0.8520338157836455,50.08319362354332,45.715
10,29,2005-04-08,45.715,45.715,45.232,45.232,17172,-0.33899999999999864,41.31834255145519,45.329600000000006,45.706237393676986,44.95296260632303,-188.83800703140648,0.8359899235347883,50.08654507325375,45.349
11,30,2005-04-11,45.349,45.349,45.176,45.194,7548,-0.0379999999999967,47.395171537484195,45.288,45.62781899206551,44.94818100793449,121.40032788136875,0.4244161500344477,50.09478046083804,45.46
12,31,2005-04-12,45.036,45.46,44.791,45.431,10717,0.23699999999999477,49.40470521001997,45.252700000000004,45.530737123609896,44.97466287639011,62.541754112782804,0.39999999999999425,50.09293254209368,45.296
13,32,2005-04-13,45.296,45.296,44.848,44.866,5141,-0.5649999999999977,41.23539232053422,45.19925,45.43938743323793,44.959112566762066,-120.13632844080641,-1.1239421720733385,50.095361263459,44.885
14,33,2005-04-14,44.885,44.885,44.501,44.501,10938,-0.365000000000002,42.279603547209064,45.1495,45.42533795777117,44.87366204222884,-25.04856011290532,-2.3479844638037357,42.99380643786581,44.345
15,34,2005-04-15,44.142,44.345,43.715,43.813,51403,-0.6879999999999953,41.25548430644613,45.0621,45.45343844552684,44.67076155447316,-705.7228662889139,-3.1371595330739233,35.91297941962323,43.887
16,35,2005-04-18,43.566,43.887,43.566,43.859,14109,0.045999999999999375,39.44862155388467,44.9885,45.45734926317416,44.519650736825845,809.520449718518,-2.95393193786786,35.97491834433545,44.087
17,36,2005-04-19,44.052,44.087,43.868,44.052,11266,0.19299999999999784,33.00055463117019,44.923199999999994,45.42748653091586,44.41891346908413,34.76236552061006,-3.0353723228632385,35.85831747627806,44.142
18,37,2005-04-20,44.142,44.142,43.539,43.558,13675,-0.4939999999999998,29.690618762474955,44.849599999999995,45.43789901097638,44.26130098902361,-202.92736081319873,-2.9153479249320196,28.732313207591304,44.406
19,38,2005-04-21,43.96,44.406,43.429,44.29,16297,0.7319999999999993,36.67472331764404,44.81485,45.41513443038981,44.21456556961019,427.22572776475704,-0.47414664838992054,35.81070936870114,44.434
20,39,2005-04-22,44.434,44.434,43.878,43.878,8640,-0.41199999999999903,37.97305965362406,44.7541,45.385430916648154,44.12276908335185,-354.2461000942871,0.14835779334900082,42.907508010214684,44.371
21,40,2005-04-25,44.235,44.371,44.105,44.345,21656,0.46699999999999875,40.75964876454967,44.71205,45.34110346396496,44.08299653603503,310.8600824484795,1.1080963998267108,42.81769814351255,44.51
22,41,2005-04-26,44.272,44.51,44.026,44.035,11266,-0.3100000000000023,43.70946064395483,44.678749999999994,45.32578997070058,44.031710029299404,-309.24455724572283,-0.038590756378831866,35.61277095696575,44.235
23,42,2005-04-27,43.979,44.235,43.804,44.16,11592,0.125,42.773124220281524,44.62285,45.26365781871504,43.98204218128496,111.6622110588321,1.3820652922539987,28.375108723979977,44.208
24,43,2005-04-28,44.208,44.208,43.715,43.715,10606,-0.4449999999999932,41.98005947175089,44.5493,45.206283545416,43.892316454584005,-139.78222838325905,-1.298261458568516,28.444373487117204,44.078
25,44,2005-04-29,43.758,44.078,43.493,44.078,15093,0.36299999999999955,39.74641675854461,44.51035,45.17121158077723,43.84948841922277,232.205625520083,0.4558092893933243,35.599123587236946,44.361
26,45,2005-05-02,44.254,44.361,44.235,44.345,18594,0.2669999999999959,40.07675438596488,44.47745,45.128805305659306,43.82609469434069,-12.696933655253204,0.0,42.82434708669506,44.397
27,46,2005-05-03,44.254,44.397,44.245,44.245,32154,-0.10000000000000142,43.798681845416375,44.4272,45.054126890726344,43.800273109273654,-185.1408450218555,0.4768933802656997,42.87345537473148,44.885
28,47,2005-05-04,44.434,44.885,44.434,44.885,8860,0.6400000000000006,46.45531566001641,44.402649999999994,44.99935210102565,43.80594789897434,200.6678523261353,1.6417572463768149,50.113898045857326,45.003
29,48,2005-05-05,44.939,45.003,44.673,44.839,38499,-0.045999999999999375,54.04082151713612,44.36605,44.907178594017324,43.82492140598268,-167.614477731435,2.5711998169964434,57.29672361184664,45.064
30,49,2005-05-06,45.064,45.064,44.801,44.92,44516,0.08100000000000307,54.345629105608914,44.350449999999995,44.869340869268804,43.831559130731186,119.8718761183251,1.9102500113435243,64.44481047448798,45.083
31,50,2005-05-09,44.848,45.083,44.801,45.074,4812,0.15399999999999636,54.005727012408535,44.34445,44.853677224124446,43.83522277587556,-63.9194509685096,1.6439282895478615,64.5011989969485,44.911
32,51,2005-05-10,44.911,44.911,44.601,44.673,12687,-0.40099999999999625,55.31512741967028,44.30655,44.755265180440674,43.85783481955933,-129.36672022589718,0.9673409424793862,64.39923849097586,44.949
33,52,2005-05-11,44.92,44.949,44.397,44.949,5141,0.27599999999999625,50.94096601073348,44.3107,44.76520807415677,43.85619192584323,144.6319312969314,0.1425866102261336,64.44064275676666,45.083
34,53,2005-05-12,44.985,45.083,44.593,44.609,15639,-0.3399999999999963,52.0128589172208,44.3161,44.77361961706577,43.85858038293423,-150.05767396857942,-0.5129463190526035,57.29156238473222,44.875
35,54,2005-05-13,44.745,44.875,44.371,44.609,14329,0.0,49.87352812908859,44.3559,44.801826581164974,43.90997341883502,118.29540145498103,-0.6923419412288512,50.153212978078265,45.083
36,55,2005-05-16,44.701,45.083,44.683,45.083,77108,0.47399999999999665,52.75758113140641,44.4171,44.875071258578764,43.95912874142123,819.3232755721881,0.019967165106270446,57.29853653583577,45.278
